id,lang,path,sr,text
1,en,en/1.wav,16000,THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG.
2,en,en/2.wav,16000,THE CAT SAT ON THE MAT.
3,en,en/3.wav,16000,SHE SELLS SEASHELLS BY THE SEASHORE.
4,en,en/4.wav,16000,I LIKE TO EAT PIZZA ON FRIDAYS.
5,en,en/5.wav,16000,HE PLAYS GUITAR EVERY DAY.
6,en,en/6.wav,16000,THE SUN RISES IN THE EAST AND SETS IN THE WEST.
7,en,en/7.wav,16000,MY FAVORITE COLOR IS BLUE.
8,en,en/8.wav,16000,THE BOY RAN TO CATCH THE BUS.
9,en,en/9.wav,16000,SHE LOVES TO READ BOOKS ON RAINY DAYS.
10,en,en/10.wav,16000,THE BABY LAUGHED AND PLAYED WITH THE TOY.
11,en,en/11.wav,16000,JOHN AND JANE WENT TO THE STORE TO BUY SOME MILK.
12,en,en/12.wav,16000,THE TEACHER WROTE A MESSAGE ON THE WHITEBOARD.
13,en,en/13.wav,16000,MY DOG BARKS AT STRANGERS.
14,en,en/14.wav,16000,THE BUTTERFLY FLEW FROM FLOWER TO FLOWER.
15,en,en/15.wav,16000,THE TRAIN ARRIVED AT THE STATION ON TIME.
16,en,en/16.wav,16000,THE CHILDREN PLAYED IN THE PARK ON A SUNNY DAY.
17,en,en/17.wav,16000,THE WATER IN THE RIVER FLOWS TOWARDS THE SEA.
18,en,en/18.wav,16000,THE CHEF COOKED A DELICIOUS MEAL FOR THE GUESTS.
19,en,en/19.wav,16000,THE BASKETBALL TEAM WON THE CHAMPIONSHIP GAME.
20,en,en/20.wav,16000,THE DOCTOR CHECKED MY HEARTBEAT AND BLOOD PRESSURE.
21,en,en/21.wav,16000,THE FLOWERS IN THE GARDEN WERE IN FULL BLOOM.
22,en,en/22.wav,16000,THE AIRPLANE FLEW HIGH IN THE SKY.
23,en,en/23.wav,16000,THE MUSIC WAS LOUD AND ENERGETIC AT THE PARTY.
24,en,en/24.wav,16000,THE POLITICIAN GAVE A SPEECH TO THE CROWD.
25,en,en/25.wav,16000,THE COMPUTER SCREEN DISPLAYED COLORFUL IMAGES.
26,en,en/26.wav,16000,THE SNOW FELL SOFTLY ON THE GROUND.
27,en,en/27.wav,16000,THE BOOKSHELF WAS FILLED WITH BOOKS OF DIFFERENT GENRES.
28,en,en/28.wav,16000,THE SOCCER BALL ROLLED ACROSS THE FIELD.
29,en,en/29.wav,16000,THE BABY CRIED WHEN HE WAS HUNGRY.
30,en,en/30.wav,16000,THE MOON WAS FULL AND BRIGHT IN THE NIGHT SKY.
